#TYPE Selected.Security2.FileSystemAccessRule2
"Folder";"Account";"AccessRights";"IsInherited"
"D:\FS\PL\acc\ACC_BND\GROUP_BDZ";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_BND\GROUP_BDZ";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_BND\GROUP_BDZ";"WORK\Security - Warsaw - Folder - Group BDZ - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_BND\GROUP_LBU";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_BND\GROUP_LBU";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_BND\GROUP_LBU";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_BND\GROUP_LBU";"WORK\Security - Warsaw - Folder - Group LBU - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_BND\GROUP_MCI";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_BND\GROUP_MCI";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_BND\GROUP_MCI";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_BND\GROUP_MCI";"WORK\Security - Warsaw - Folder - Group MCI - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_BND\GROUP_ZGO";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_BND\GROUP_ZGO";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_BND\GROUP_ZGO";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_BND\GROUP_ZGO";"WORK\Security - Warsaw - Folder - Group ZGO - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_BND\GROUP_BDZ\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group BDZ - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_BND\GROUP_LBU\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group LBU - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_BND\GROUP_MCI\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group MCI - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_BND\GROUP_ZGO\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group ZGO - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_DWA\DWA";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_DWA\DWA";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_DWA\DWA";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_DWA\DWA";"WORK\wandasd";"FullControl";"False"
"D:\FS\PL\acc\ACC_DWA\GROUP_AGW";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_DWA\GROUP_AGW";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_DWA\GROUP_AGW";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_DWA\GROUP_AGW";"WORK\Security - Warsaw - Folder - Group AGW - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_DWA\GROUP_KCE";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_DWA\GROUP_KCE";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_DWA\GROUP_KCE";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_DWA\GROUP_KCE";"WORK\Security - Warsaw - Folder - Group KCE - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_DWA\GROUP_AGW\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group AGW - RW";"FullControl";"False"
"D:\FS\PL\acc\ACC_DWA\GROUP_KCE\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group KCE - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_EPI\COMMON_EPI";"WORK\Security - VCS File Server Users";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_EPI\GROUP_ABT";"WORK\Security - Wroclaw - Folder - Group ABT - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_EPI\GROUP_AKN";"WORK\Security - Wroclaw - Folder - Group AKN - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_EPI\GROUP_ASO";"WORK\Security - VCS File Server Users";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_EPI\GROUP_ASO";"WORK\Security - Wroclaw - Folder - Group ASO - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_EPI\GROUP_AZB";"WORK\Security - Wroclaw - Folder - Group AZB - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_EPI\GROUP_JGO";"WORK\Security - Wroclaw - Folder - Group JGO - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_EPI\GROUP_ABT\OTHER_ABT";"WORK\Security - VCS File Server Users";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_EPI\GROUP_ABT\OTHER_ABT";"WORK\Security - Wroclaw - Folder - Group ABT - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_EPI\GROUP_AKN\OTHER_AKN";"WORK\Security - VCS File Server Users";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_EPI\GROUP_AKN\OTHER_AKN";"WORK\Security - Wroclaw - Folder - Group AKN - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_EPI\GROUP_ASO\OTHER_ASO";"WORK\Security - VCS File Server Users";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_EPI\GROUP_ASO\OTHER_ASO";"WORK\Security - Wroclaw - Folder - Group ASO - RW";"Modify, Synchronize";"False"
